연도,월,주차,Target,y_pred_LinearRegression,y_pred_DecisionTreeRegressor,y_pred_RandomForestRegressor,y_pred_LGBMRegressor,y_pred_ExplainableBoostingRegressor
2023,1,1,37,38.11879349,38.39705882,38.6,38.57811711,39.73587311
2023,1,2,35,34.47801709,38.39705882,38.53421053,37.29277436,43.77273818
2023,1,3,36,33.88941693,34.30769231,34.46315789,35.303188,33.89490995
2023,2,1,34,34.8952868,38.39705882,37.83684211,35.94207356,38.75315469
2023,2,2,32,33.91286635,34.30769231,33.73684211,35.51032279,37.79511213
2023,2,3,35,31.22984338,30.36363636,31.22368421,31.67162233,29.03362504
2023,2,4,37,35.75162792,34.30769231,34.77368421,37.41045849,38.48780325
2023,3,1,36,36.99392104,38.39705882,37.87368421,35.99450503,36.1536638
2023,3,2,34,35.93027997,38.39705882,37.74210526,36.59240868,30.95848574
2023,3,3,33,35.17151666,34.30769231,33.23157895,35.02790842,35.77067127
2023,3,4,34,33.92012286,30.36363636,31.67631579,34.01670938,34.37312756
2023,3,5,30,33.54417086,34.30769231,33.25263158,34.57249581,34.7464377
2023,4,1,31,29.26639414,30.36363636,31.20789474,30.93368069,31.20449276
2023,4,2,27,30.70504546,30.36363636,31.37894737,31.22574527,34.76279966
2023,4,3,31,27.91579962,25.12765957,25.96578947,27.01310609,30.34672425
2023,4,4,30,32.69523859,30.36363636,31.49473684,33.25320668,35.11152728
2023,5,1,33,29.93948078,30.36363636,30.62105263,30.0342798,34.17965351
2023,5,2,35,34.0671823,30.36363636,31.65789474,34.29497767,32.94377503
2023,5,3,37,34.2909472,34.30769231,34.60789474,34.91519347,33.35870274
2023,5,4,36,38.29538202,38.39705882,38.18421053,37.08792521,36.4184129
2023,6,1,35,37.24826622,38.39705882,38.56315789,38.80562061,41.23310472
2023,6,3,35,34.82781601,34.30769231,34.60789474,36.1518588,37.99818799
2023,6,4,36,34.35285807,34.30769231,34.71052632,35.74647029,35.47519157
2023,6,5,36,35.88370967,38.39705882,37.94210526,36.29661021,34.08403775
2023,7,1,38,35.45987082,38.39705882,37.85789474,35.65099445,37.07004198
2023,7,2,32,38.06857419,38.39705882,38.63947368,38.37075209,35.29450632
2023,7,3,33,33.11824608,30.36363636,31.63157895,31.43407767,33.38930922
2023,7,4,35,32.01276636,30.36363636,31.71052632,32.54694889,31.72085762
2023,8,1,33,35.04185271,34.30769231,34.73157895,36.55044212,33.58875172
2023,8,2,35,30.69299626,30.36363636,31.48157895,32.44139769,26.53491814
2023,8,4,34,36.33039832,34.30769231,35.03421053,37.42560501,39.3007909
2023,8,5,33,33.72088099,34.30769231,33.50526316,34.88289238,33.38227577
